mediaId,productId,origin,value,type,created
TN-image-1246155,TN,TN,/2018/11/05/pantalla_azul_windows.jpg,image,20181105T134701
TN-image-1246216,TN,TN,/2018/11/05/boxeador.jpg,image,20181105T191009
TN-image-1246141,TN,TN,/2018/11/05/bullrich.jpg,image,20181105T130309
TN-image-1245407,TN,TN,/2018/11/02/macri9.jpg,image,20181102T193612
