articleId,productId,type,title,created,updated
TN-912553,TN,article,La falla en Windows que lleva más de 40 años y todavía no pueden solucionar,20181105T134701,20181105T152511
TN-912610,TN,article,El momento en que un excampeón de boxeo muere atragantado en un concurso de medialunas,20181105T191009,20181105T191633
TN-912537,TN,article,"Patricia Bullrich volvió a encender el debate por los visitantes: ""Vamos a tener un G20, ¿no vamos a poder dominar un partido River-Boca?""",20181105T130309,20181105T130309
TN-911852,TN,article,"Mauricio Macri puso en duda la inclusión del público visitante en los duelos entre River y Boca por la Copa Libertadores: ""Es decisión de los clubes""",20181102T191544,20181102T191544
